dataset,token,PC1,PC2,PC3,PC4,PC5
comparisons,answer,100,51,41,52,56
sp_en_trans,answer,100,52,44,60,55
cities,answer,100,60,53,51,58
amazon,answer,96,54,50,49,54
imdb,answer,93,56,54,46,54
ent_bank,answer,85,48,59,58,56
snli,answer,63,61,76,64,55
copa,answer,51,70,44,57,53
rte,answer,52,65,50,61,52
comparisons,period,52,55,48,93,56
sp_en_trans,period,99,54,46,51,42
cities,period,51,95,65,61,57
amazon,period,51,92,50,49,54
imdb,period,91,60,51,48,52
ent_bank,period,89,52,55,64,56
snli,period,75,75,54,64,54
copa,period,50,49,47,58,53
rte,period,52,61,50,60,53
