model,method,dataset,position,layer,seed,K,lambda_k,max_overlap
llama2_7b,CCS,amazon,answer,15,0,1,0.027051443739608865,0.027051443739608865
llama2_7b,CCS,amazon,answer,15,0,2,0.5220527255649317,0.5213513859781871
llama2_7b,CCS,amazon,answer,15,0,4,0.6393145026367846,0.5213513859781871
llama2_7b,CCS,amazon,answer,15,0,8,0.6585992769927287,0.5213513859781871
llama2_7b,CCS,amazon,answer,15,0,16,0.6729454389991548,0.5213513859781871
llama2_7b,CCS,amazon,answer,15,0,32,0.6816375887446758,0.5213513859781871
llama2_7b,CCS,amazon,answer,15,0,64,0.7084807935805864,0.5213513859781871
llama2_7b,CCS,amazon,answer,15,0,128,0.7416420371653576,0.5213513859781871
llama2_7b,CCS,amazon,answer,15,1,1,0.02941708525993189,0.02941708525993189
llama2_7b,CCS,amazon,answer,15,1,2,0.5262993969943367,0.5254766316130645
llama2_7b,CCS,amazon,answer,15,1,4,0.644538626639864,0.5254766316130645
llama2_7b,CCS,amazon,answer,15,1,8,0.6662319624251065,0.5254766316130645
llama2_7b,CCS,amazon,answer,15,1,16,0.6806983020393211,0.5254766316130645
llama2_7b,CCS,amazon,answer,15,1,32,0.6891184512116223,0.5254766316130645
llama2_7b,CCS,amazon,answer,15,1,64,0.7147241915187621,0.5254766316130645
llama2_7b,CCS,amazon,answer,15,1,128,0.7471153041370251,0.5254766316130645
llama2_7b,CCS,amazon,answer,15,2,1,0.027801221043476945,0.027801221043476945
llama2_7b,CCS,amazon,answer,15,2,2,0.5143175724461859,0.5135656310885975
llama2_7b,CCS,amazon,answer,15,2,4,0.6367374968204578,0.5135656310885975
llama2_7b,CCS,amazon,answer,15,2,8,0.6554584169354859,0.5135656310885975
llama2_7b,CCS,amazon,answer,15,2,16,0.6698485342326661,0.5135656310885975
llama2_7b,CCS,amazon,answer,15,2,32,0.6801424718500824,0.5135656310885975
llama2_7b,CCS,amazon,answer,15,2,64,0.7053406217018915,0.5135656310885975
llama2_7b,CCS,amazon,answer,15,2,128,0.7346562632793406,0.5135656310885975
llama2_7b,CCS,amazon,answer,15,3,1,0.026891277289127682,0.026891277289127682
llama2_7b,CCS,amazon,answer,15,3,2,0.508596203813234,0.5078847878594042
llama2_7b,CCS,amazon,answer,15,3,4,0.6271715965233072,0.5078847878594042
llama2_7b,CCS,amazon,answer,15,3,8,0.645637263675736,0.5078847878594042
llama2_7b,CCS,amazon,answer,15,3,16,0.6620104703745452,0.5078847878594042
llama2_7b,CCS,amazon,answer,15,3,32,0.6738599921774336,0.5078847878594042
llama2_7b,CCS,amazon,answer,15,3,64,0.6975524418691831,0.5078847878594042
llama2_7b,CCS,amazon,answer,15,3,128,0.730881128689882,0.5078847878594042
llama2_7b,CCS,amazon,answer,15,4,1,0.028298871652813983,0.028298871652813983
llama2_7b,CCS,amazon,answer,15,4,2,0.5150933521915388,0.5143154045282858
llama2_7b,CCS,amazon,answer,15,4,4,0.6422346493595724,0.5143154045282858
llama2_7b,CCS,amazon,answer,15,4,8,0.6601668096753799,0.5143154045282858
llama2_7b,CCS,amazon,answer,15,4,16,0.6766090683749563,0.5143154045282858
llama2_7b,CCS,amazon,answer,15,4,32,0.6900620323459157,0.5143154045282858
llama2_7b,CCS,amazon,answer,15,4,64,0.7124410176953997,0.5143154045282858
llama2_7b,CCS,amazon,answer,15,4,128,0.7394619586560005,0.5143154045282858
llama2_7b,CCS,amazon,answer,15,5,1,0.028803890767820983,0.028803890767820983
llama2_7b,CCS,amazon,answer,15,5,2,0.5174066393481223,0.5166042647115424
llama2_7b,CCS,amazon,answer,15,5,4,0.6446262724525779,0.5166042647115424
llama2_7b,CCS,amazon,answer,15,5,8,0.6629908381333518,0.5166042647115424
llama2_7b,CCS,amazon,answer,15,5,16,0.679805000482338,0.5166042647115424
llama2_7b,CCS,amazon,answer,15,5,32,0.6952377903824487,0.5166042647115424
llama2_7b,CCS,amazon,answer,15,5,64,0.7178842462700326,0.5166042647115424
llama2_7b,CCS,amazon,answer,15,5,128,0.7441302274501597,0.5166042647115424
llama2_7b,CCS,amazon,answer,15,6,1,0.027467470975342502,0.027467470975342502
llama2_7b,CCS,amazon,answer,15,6,2,0.5143021393684967,0.5135681343280862
llama2_7b,CCS,amazon,answer,15,6,4,0.6387673251573437,0.5135681343280862
llama2_7b,CCS,amazon,answer,15,6,8,0.6566195860165743,0.5135681343280862
llama2_7b,CCS,amazon,answer,15,6,16,0.6710523685949158,0.5135681343280862
llama2_7b,CCS,amazon,answer,15,6,32,0.6813617695858948,0.5135681343280862
llama2_7b,CCS,amazon,answer,15,6,64,0.7063565256597589,0.5135681343280862
llama2_7b,CCS,amazon,answer,15,6,128,0.7360990247315724,0.5135681343280862
llama2_7b,CCS,amazon,answer,15,7,1,0.02923855111420239,0.02923855111420239
llama2_7b,CCS,amazon,answer,15,7,2,0.5129348050238132,0.5121007921625971
llama2_7b,CCS,amazon,answer,15,7,4,0.6431957748369871,0.5121007921625971
llama2_7b,CCS,amazon,answer,15,7,8,0.660207151623888,0.5121007921625971
llama2_7b,CCS,amazon,answer,15,7,16,0.677173058811889,0.5121007921625971
llama2_7b,CCS,amazon,answer,15,7,32,0.691173411748522,0.5121007921625971
llama2_7b,CCS,amazon,answer,15,7,64,0.7135303774976425,0.5121007921625971
llama2_7b,CCS,amazon,answer,15,7,128,0.7394769714116364,0.5121007921625971
llama2_7b,CCS,amazon,answer,15,8,1,0.02468053486787996,0.02468053486787996
llama2_7b,CCS,amazon,answer,15,8,2,0.5331311421211014,0.5325595608924746
