dataset,CCS med (answer),tcPCA-1 (answer),logistic (answer),gap (answer),norm (answer),CCS med (period),tcPCA-1 (period),logistic (period),gap (period),norm (period),norm ratio period/answer
comparisons,1.0,1.0,1.0,3.911523246963667,27.546363829612734,0.932,0.942,0.988,3.9225655735357847,2870.030962524414,104.18910387871556
sp_en_trans,0.9943502824858758,1.0,1.0,4.384497122314213,29.203878553573695,0.9887005649717514,0.9887005649717514,0.9887005649717514,3.269156634445101,31.713875258709752,1.0859473751245587
cities,0.998,0.998,1.0,7.91670124459489,30.424774554252625,1.0,0.994,1.0,2.400024845306691,2854.7861706542967,93.83097204430291
amazon,0.957,0.956,0.954,10.095353464295123,33.075580282211305,0.934,0.93,0.936,3.938734081639094,129.44796371841431,3.9137019702730345
imdb,0.94,0.938,0.952,8.521566305228694,26.57349490737915,0.921,0.924,0.936,5.8449707964636035,69.6343225364685,2.620442767470976
ent_bank,0.87,0.858,0.96,1.6767185966748503,30.956498191833496,0.926,0.9,0.97,1.595824593050638,26.939906257629396,0.8702504427563548
snli,0.637,0.668,0.922,1.483136144276836,34.20564188098908,0.836,0.806,0.942,1.6647365669150391,28.578158838272095,0.8354808524775954
copa,0.586,0.508,0.82,1.3001286433837351,29.469853746414184,0.48,0.512,0.74,1.3272185226021225,26.099967708587645,0.8856497196482837
rte,0.538,0.544,0.812,1.4780185739276637,31.57298959827423,0.519,0.52,0.806,1.957513572669211,29.110232464790343,0.9219979746986487
