dataset,position,ccs_sd,ccs_range,ccs_max,gap,participation
amazon,answer,0.0011234866364235204,0.0040000000000000036,0.958,10.095353464295123,1.836155050031806
amazon,period,0.002565584187319203,0.01200000000000001,0.934,3.938734081639094,2.8504881987369757
cities,answer,0.0008137703743822314,0.0040000000000000036,1.0,7.91670124459489,2.2259739553584845
cities,period,0.0,0.0,1.0,2.400024845306691,3.9543869516089263
comparisons,answer,0.0,0.0,1.0,3.911523246963667,3.844727891812217
comparisons,period,0.00605199691561936,0.017999999999999905,0.944,3.9225655735357847,4.93396834222916
copa,answer,0.059942046085272115,0.20799999999999996,0.692,1.3001286433837351,6.0152490186152265
copa,period,0.02045700097494472,0.10800000000000004,0.552,1.3272185226021225,7.843458957573646
ent_bank,answer,0.09479336591883539,0.372,0.908,1.6767185966748503,4.900128312337337
ent_bank,period,0.18767523959104346,0.45799999999999996,0.96,1.595824593050638,5.667210957117553
imdb,answer,0.0034389921004076866,0.013999999999999901,0.946,8.521566305228694,2.5742884577201086
imdb,period,0.006582468297598484,0.030000000000000027,0.928,5.8449707964636035,2.8705848818726407
rte,answer,0.0357872727221409,0.15200000000000002,0.626,1.4780185739276637,6.525600628135871
rte,period,0.026468010041473772,0.12599999999999995,0.592,1.957513572669211,6.626315812993198
snli,answer,0.0831607813548884,0.33399999999999996,0.836,1.483136144276836,6.656556923227873
snli,period,0.07207345018952696,0.244,0.924,1.6647365669150391,6.51894052368556
sp_en_trans,answer,0.0027677850200939717,0.005649717514124242,1.0,4.384497122314213,3.3619853825829384
sp_en_trans,period,0.12423156577716059,0.42937853107344637,0.9887005649717514,3.269156634445101,3.473495496083123
