contrast,norm,unit_vector_tcpc_0_1_2,angle_to_base,angle_to_truth,angle_to_negation,method,basis
negation,10.6607,"[1.0, 0.0010000000474974513, 0.007000000216066837]",87.14,87.58,,cross_covariance_8,tcPC
base,2.708,"[0.052000001072883606, 0.8659999966621399, -0.49799999594688416]",,52.97,87.14,cross_covariance_8,tcPC
truth,2.9195,"[0.04600000008940697, -0.9210000038146973, -0.3869999945163727]",52.97,,87.58,cross_covariance_8,tcPC
negation,2.0062,"[1.0, 0.0, -0.007000000216066837]",89.96,89.63,,generalized_cross_covariance_8,GCC
base,1.9049,"[0.007000000216066837, 0.5559999942779541, 0.8309999704360962]",,86.14,89.96,generalized_cross_covariance_8,GCC
truth,1.9033,"[0.009999999776482582, -0.8669999837875366, 0.49900001287460327]",86.14,,89.63,generalized_cross_covariance_8,GCC
