dataset,CCS med (answer),tcPCA-1 (answer),logistic (answer),gap (answer),norm (answer),CCS med (period),tcPCA-1 (period),logistic (period),gap (period),norm (period),norm ratio period/answer
comparisons,1.0,1.0,1.0,10.342476324752667,10.948034060001373,1.0,1.0,1.0,8.74450222338672,10.542531532287597,0.9629611558119573
sp_en_trans,1.0,1.0,1.0,6.920392603169931,11.32320327812669,1.0,1.0,1.0,4.7867431995300045,11.557151204448635,1.0206609314145114
cities,1.0,0.998,0.998,6.832734355743026,12.333072363376617,0.998,0.996,1.0,4.234182358537346,11.712995071411132,0.9497223989533362
amazon,0.952,0.952,0.956,12.361881706353751,11.891496631145477,0.952,0.946,0.952,7.410826066793496,10.744319599151611,0.9035296340252705
imdb,0.942,0.938,0.946,2.0500404029229173,10.810252744674683,0.932,0.918,0.938,2.9324978932789127,9.439731424331665,0.8732202333550286
ent_bank,0.982,0.972,0.99,3.891454122438671,11.060908853054046,0.982,0.974,0.99,3.0620852334346367,10.20955225610733,0.9230301408087593
snli,0.928,0.916,0.962,2.8129730148319956,11.751106758594513,0.932,0.932,0.96,1.9772196539326725,10.9077785449028,0.9282341458539707
copa,0.72,0.708,0.856,1.4170122775631298,10.52889928817749,0.504,0.504,0.808,1.8807164340833142,9.664712045669555,0.9179223564728842
rte,0.592,0.602,0.824,2.0748980988194536,11.188038716316223,0.56,0.546,0.844,2.3102498976338306,10.37388733100891,0.9272301959305893
