model,method,dataset,position,layer,seed,K,lambda_k,max_overlap
llama3_8b,CCS,amazon,answer,15,9,8,0.6256399608658899,0.5956855821929583
llama3_8b,CCS,amazon,answer,15,9,16,0.6405890708873857,0.5956855821929583
llama3_8b,CCS,amazon,answer,15,9,32,0.6749271163353918,0.5956855821929583
llama3_8b,CCS,amazon,answer,15,9,64,0.7180868721441,0.5956855821929583
llama3_8b,CCS,amazon,answer,15,9,128,0.7514660183403143,0.5956855821929583
llama3_8b,CCS,amazon,answer,15,10,1,0.0563274270033981,0.0563274270033981
llama3_8b,CCS,amazon,answer,15,10,2,0.6080227934916257,0.6054080759062741
llama3_8b,CCS,amazon,answer,15,10,4,0.6276976196371984,0.6054080759062741
llama3_8b,CCS,amazon,answer,15,10,8,0.635571061435264,0.6054080759062741
llama3_8b,CCS,amazon,answer,15,10,16,0.6505440325993419,0.6054080759062741
llama3_8b,CCS,amazon,answer,15,10,32,0.6861667048975544,0.6054080759062741
llama3_8b,CCS,amazon,answer,15,10,64,0.728835241902759,0.6054080759062741
llama3_8b,CCS,amazon,answer,15,10,128,0.7612641241063092,0.6054080759062741
llama3_8b,CCS,amazon,answer,15,11,1,0.05545052837943715,0.05545052837943715
llama3_8b,CCS,amazon,answer,15,11,2,0.5870760027513474,0.5844514281862448
llama3_8b,CCS,amazon,answer,15,11,4,0.6063399273878421,0.5844514281862448
llama3_8b,CCS,amazon,answer,15,11,8,0.6139755963311468,0.5844514281862448
llama3_8b,CCS,amazon,answer,15,11,16,0.6289880867578307,0.5844514281862448
llama3_8b,CCS,amazon,answer,15,11,32,0.6637070421154776,0.5844514281862448
llama3_8b,CCS,amazon,answer,15,11,64,0.7041946320881431,0.5844514281862448
llama3_8b,CCS,amazon,answer,15,11,128,0.7397846758423635,0.5844514281862448
llama3_8b,CCS,amazon,answer,15,12,1,0.054108043407298176,0.054108043407298176
llama3_8b,CCS,amazon,answer,15,12,2,0.5985803085412704,0.5961297722912323
llama3_8b,CCS,amazon,answer,15,12,4,0.6186272665361299,0.5961297722912323
llama3_8b,CCS,amazon,answer,15,12,8,0.626723447168003,0.5961297722912323
llama3_8b,CCS,amazon,answer,15,12,16,0.6420862878203302,0.5961297722912323
llama3_8b,CCS,amazon,answer,15,12,32,0.6761371233816441,0.5961297722912323
llama3_8b,CCS,amazon,answer,15,12,64,0.7156696703539417,0.5961297722912323
llama3_8b,CCS,amazon,answer,15,12,128,0.7486757973642427,0.5961297722912323
llama3_8b,CCS,amazon,answer,15,13,1,0.05660603329432925,0.05660603329432925
llama3_8b,CCS,amazon,answer,15,13,2,0.5987515405465281,0.5960697646261904
llama3_8b,CCS,amazon,answer,15,13,4,0.6177664305263149,0.5960697646261904
llama3_8b,CCS,amazon,answer,15,13,8,0.6252493492004776,0.5960697646261904
llama3_8b,CCS,amazon,answer,15,13,16,0.6388905899718886,0.5960697646261904
llama3_8b,CCS,amazon,answer,15,13,32,0.6763585329595305,0.5960697646261904
llama3_8b,CCS,amazon,answer,15,13,64,0.7183641339553087,0.5960697646261904
llama3_8b,CCS,amazon,answer,15,13,128,0.7518516662929596,0.5960697646261904
llama3_8b,CCS,amazon,answer,15,14,1,0.054657088097714086,0.054657088097714086
llama3_8b,CCS,amazon,answer,15,14,2,0.5756077318501606,0.573006861814381
llama3_8b,CCS,amazon,answer,15,14,4,0.5947812283381161,0.573006861814381
llama3_8b,CCS,amazon,answer,15,14,8,0.601732651565877,0.573006861814381
llama3_8b,CCS,amazon,answer,15,14,16,0.6166655950316113,0.573006861814381
llama3_8b,CCS,amazon,answer,15,14,32,0.6521952345812396,0.573006861814381
llama3_8b,CCS,amazon,answer,15,14,64,0.6927062829887826,0.573006861814381
llama3_8b,CCS,amazon,answer,15,14,128,0.7305630109598151,0.573006861814381
llama3_8b,CCS,amazon,answer,15,15,1,0.05607085122844661,0.05607085122844661
llama3_8b,CCS,amazon,answer,15,15,2,0.5934386953969085,0.59078383934981
llama3_8b,CCS,amazon,answer,15,15,4,0.6129633599070976,0.59078383934981
llama3_8b,CCS,amazon,answer,15,15,8,0.6208378123592363,0.59078383934981
llama3_8b,CCS,amazon,answer,15,15,16,0.6359801524695158,0.59078383934981
llama3_8b,CCS,amazon,answer,15,15,32,0.670118564811975,0.59078383934981
llama3_8b,CCS,amazon,answer,15,15,64,0.7112485434775306,0.59078383934981
llama3_8b,CCS,amazon,answer,15,15,128,0.7445253341523027,0.59078383934981
llama3_8b,CCS,amazon,answer,15,16,1,0.056231756672757184,0.056231756672757184
llama3_8b,CCS,amazon,answer,15,16,2,0.5929673483644075,0.5902950666978443
llama3_8b,CCS,amazon,answer,15,16,4,0.6122887418150176,0.5902950666978443
llama3_8b,CCS,amazon,answer,15,16,8,0.6199555536155891,0.5902950666978443
llama3_8b,CCS,amazon,answer,15,16,16,0.6350537740205311,0.5902950666978443
llama3_8b,CCS,amazon,answer,15,16,32,0.6693447969244783,0.5902950666978443
llama3_8b,CCS,amazon,answer,15,16,64,0.7106866704490439,0.5902950666978443
llama3_8b,CCS,amazon,answer,15,16,128,0.7440322858251477,0.5902950666978443
llama3_8b,CCS,amazon,answer,15,17,1,0.0540219350732657,0.0540219350732657
llama3_8b,CCS,amazon,answer,15,17,2,0.597180788100199,0.5947323130677488
llama3_8b,CCS,amazon,answer,15,17,4,0.6166815311887776,0.5947323130677488
llama3_8b,CCS,amazon,answer,15,17,8,0.6247652977671101,0.5947323130677488
llama3_8b,CCS,amazon,answer,15,17,16,0.6406326432080207,0.5947323130677488
llama3_8b,CCS,amazon,answer,15,17,32,0.6752519754471918,0.5947323130677488
llama3_8b,CCS,amazon,answer,15,17,64,0.717345150961991,0.5947323130677488
llama3_8b,CCS,amazon,answer,15,17,128,0.7503927803838125,0.5947323130677488
llama3_8b,CCS,amazon,answer,15,18,1,0.05589719114310961,0.05589719114310961
llama3_8b,CCS,amazon,answer,15,18,2,0.5941389318414085,0.5915036554003369
llama3_8b,CCS,amazon,answer,15,18,4,0.6134292844702505,0.5915036554003369
llama3_8b,CCS,amazon,answer,15,18,8,0.621154428300148,0.5915036554003369
llama3_8b,CCS,amazon,answer,15,18,16,0.6357535727768381,0.5915036554003369
llama3_8b,CCS,amazon,answer,15,18,32,0.6702036111658191,0.5915036554003369
llama3_8b,CCS,amazon,answer,15,18,64,0.7118307445865684,0.5915036554003369
llama3_8b,CCS,amazon,answer,15,18,128,0.747150091761513,0.5915036554003369
llama3_8b,CCS,amazon,answer,15,19,1,0.0536107818767342,0.0536107818767342
llama3_8b,CCS,amazon,answer,15,19,2,0.5722431382655911,0.5697263319863474
llama3_8b,CCS,amazon,answer,15,19,4,0.5918147783942672,0.5697263319863474
llama3_8b,CCS,amazon,answer,15,19,8,0.598455079607145,0.5697263319863474
llama3_8b,CCS,amazon,answer,15,19,16,0.6124969278734734,0.5697263319863474
llama3_8b,CCS,amazon,answer,15,19,32,0.648790844528382,0.5697263319863474
llama3_8b,CCS,amazon,answer,15,19,64,0.6893720355188249,0.5697263319863474
llama3_8b,CCS,amazon,answer,15,19,128,0.7239425365568093,0.5697263319863474
llama3_8b,CCS,amazon,answer,15,20,1,0.05566972598480114,0.05566972598480114
llama3_8b,CCS,amazon,answer,15,20,2,0.5905250052751382,0.5878951126382828
llama3_8b,CCS,amazon,answer,15,20,4,0.6101360431095151,0.5878951126382828
llama3_8b,CCS,amazon,answer,15,20,8,0.617690381854252,0.5878951126382828
llama3_8b,CCS,amazon,answer,15,20,16,0.6326602052442498,0.5878951126382828
llama3_8b,CCS,amazon,answer,15,20,32,0.6660387359103347,0.5878951126382828
llama3_8b,CCS,amazon,answer,15,20,64,0.7074249956104796,0.5878951126382828
llama3_8b,CCS,amazon,answer,15,20,128,0.7401582757258043,0.5878951126382828
llama3_8b,CCS,amazon,answer,15,21,1,0.052358732848673366,0.052358732848673366
llama3_8b,CCS,amazon,answer,15,21,2,0.5987878784218443,0.5964943306012344
llama3_8b,CCS,amazon,answer,15,21,4,0.6180869644442812,0.5964943306012344
llama3_8b,CCS,amazon,answer,15,21,8,0.6257895082100604,0.5964943306012344
llama3_8b,CCS,amazon,answer,15,21,16,0.64078801409854,0.5964943306012344
llama3_8b,CCS,amazon,answer,15,21,32,0.678087058919183,0.5964943306012344
llama3_8b,CCS,amazon,answer,15,21,64,0.7222122100738655,0.5964943306012344
llama3_8b,CCS,amazon,answer,15,21,128,0.7538785094358443,0.5964943306012344
llama3_8b,CCS,amazon,answer,15,22,1,0.0551969317332434,0.0551969317332434
llama3_8b,CCS,amazon,answer,15,22,2,0.6021468234923276,0.599611620775595
llama3_8b,CCS,amazon,answer,15,22,4,0.6217502009106655,0.599611620775595
llama3_8b,CCS,amazon,answer,15,22,8,0.629334506511613,0.599611620775595
llama3_8b,CCS,amazon,answer,15,22,16,0.6436528152370409,0.599611620775595
llama3_8b,CCS,amazon,answer,15,22,32,0.6799743228022314,0.599611620775595
llama3_8b,CCS,amazon,answer,15,22,64,0.7208578315149603,0.599611620775595
llama3_8b,CCS,amazon,answer,15,22,128,0.7528182870982728,0.599611620775595
llama3_8b,CCS,amazon,answer,15,23,1,0.05436432661344114,0.05436432661344114
llama3_8b,CCS,amazon,answer,15,23,2,0.6070595220482758,0.6046203629562507
llama3_8b,CCS,amazon,answer,15,23,4,0.6272202571440434,0.6046203629562507
llama3_8b,CCS,amazon,answer,15,23,8,0.6349779350620146,0.6046203629562507
llama3_8b,CCS,amazon,answer,15,23,16,0.650202936857443,0.6046203629562507
llama3_8b,CCS,amazon,answer,15,23,32,0.6872320662576659,0.6046203629562507
llama3_8b,CCS,amazon,answer,15,23,64,0.7292056647406981,0.6046203629562507
llama3_8b,CCS,amazon,answer,15,23,128,0.7602493765807611,0.6046203629562507
llama3_8b,CCS,amazon,answer,15,24,1,0.054729504376619914,0.054729504376619914
llama3_8b,CCS,amazon,answer,15,24,2,0.59674502984813,0.5942300160704903
llama3_8b,CCS,amazon,answer,15,24,4,0.6167205036681763,0.5942300160704903
llama3_8b,CCS,amazon,answer,15,24,8,0.6240390149491957,0.5942300160704903
llama3_8b,CCS,amazon,answer,15,24,16,0.6394941951104355,0.5942300160704903
llama3_8b,CCS,amazon,answer,15,24,32,0.6725079911114863,0.5942300160704903
llama3_8b,CCS,amazon,answer,15,24,64,0.7137349565674526,0.5942300160704903
llama3_8b,CCS,amazon,answer,15,24,128,0.7481623122982508,0.5942300160704903
llama3_8b,CCS,amazon,answer,15,25,1,0.055751137657771704,0.055751137657771704
llama3_8b,CCS,amazon,answer,15,25,2,0.5919488508276571,0.5893176161002215
llama3_8b,CCS,amazon,answer,15,25,4,0.6112913002210321,0.5893176161002215
llama3_8b,CCS,amazon,answer,15,25,8,0.6190519667608338,0.5893176161002215
llama3_8b,CCS,amazon,answer,15,25,16,0.6339553415001543,0.5893176161002215
llama3_8b,CCS,amazon,answer,15,25,32,0.6680981956983457,0.5893176161002215
llama3_8b,CCS,amazon,answer,15,25,64,0.7094462238328336,0.5893176161002215
llama3_8b,CCS,amazon,answer,15,25,128,0.7445510120921409,0.5893176161002215
llama3_8b,CCS,amazon,answer,15,26,1,0.053973352473515826,0.053973352473515826
llama3_8b,CCS,amazon,answer,15,26,2,0.596562887787965,0.5941162818074301
llama3_8b,CCS,amazon,answer,15,26,4,0.6160563617570262,0.5941162818074301
llama3_8b,CCS,amazon,answer,15,26,8,0.6243170671936787,0.5941162818074301
llama3_8b,CCS,amazon,answer,15,26,16,0.640001678435465,0.5941162818074301
llama3_8b,CCS,amazon,answer,15,26,32,0.6732630150457393,0.5941162818074301
llama3_8b,CCS,amazon,answer,15,26,64,0.7160449526772399,0.5941162818074301
