dataset,position,layer,index,eigenvalue,basis
amazon,answer,15,0,3.099078586589112,tcPCA-8
amazon,answer,15,1,0.2506963470614874,tcPCA-8
amazon,answer,15,2,0.13655707419161223,tcPCA-8
amazon,answer,15,3,0.09030237345675321,tcPCA-8
amazon,answer,15,4,0.08284256908377614,tcPCA-8
amazon,answer,15,5,0.07694611890263847,tcPCA-8
amazon,answer,15,6,0.06060743259380774,tcPCA-8
amazon,answer,15,7,0.05923446584386184,tcPCA-8
amazon,answer,15,8,0.040883013871757745,tcPCA-8
amazon,answer,15,9,0.038233712023685223,tcPCA-8
amazon,period,15,0,0.5563686973241382,tcPCA-8
amazon,period,15,1,0.07507512554060884,tcPCA-8
amazon,period,15,2,0.03478152201515577,tcPCA-8
amazon,period,15,3,0.03138357594732474,tcPCA-8
amazon,period,15,4,0.022811396301547042,tcPCA-8
amazon,period,15,5,0.017292387382474537,tcPCA-8
amazon,period,15,6,0.01568317852809953,tcPCA-8
amazon,period,15,7,0.013938451030739365,tcPCA-8
amazon,period,15,8,0.010515970171002515,tcPCA-8
amazon,period,15,9,0.008882825696863701,tcPCA-8
cities,answer,15,0,4.460231734713733,tcPCA-8
cities,answer,15,1,0.6527740583043207,tcPCA-8
cities,answer,15,2,0.4529415473931,tcPCA-8
cities,answer,15,3,0.4048227761410521,tcPCA-8
cities,answer,15,4,0.24231624221851863,tcPCA-8
cities,answer,15,5,0.20185591822025828,tcPCA-8
cities,answer,15,6,0.14523743917398718,tcPCA-8
cities,answer,15,7,0.13735159643894487,tcPCA-8
cities,answer,15,8,0.11945455746806972,tcPCA-8
cities,answer,15,9,0.1079779215694093,tcPCA-8
cities,period,15,0,3.3332294594977205,tcPCA-8
cities,period,15,1,0.7872191552583838,tcPCA-8
cities,period,15,2,0.42052636579253594,tcPCA-8
cities,period,15,3,0.3841282567733216,tcPCA-8
cities,period,15,4,0.1949066413530088,tcPCA-8
cities,period,15,5,0.14040893053802728,tcPCA-8
cities,period,15,6,0.12966120554471916,tcPCA-8
cities,period,15,7,0.10235648836471399,tcPCA-8
cities,period,15,8,0.09115954110256864,tcPCA-8
cities,period,15,9,0.08319381897128993,tcPCA-8
comparisons,answer,15,0,1.0488090865354909,tcPCA-8
comparisons,answer,15,1,0.10140792723164126,tcPCA-8
comparisons,answer,15,2,0.05554499069949779,tcPCA-8
comparisons,answer,15,3,0.048824975627263394,tcPCA-8
comparisons,answer,15,4,0.046069387107046625,tcPCA-8
comparisons,answer,15,5,0.041105589764712507,tcPCA-8
comparisons,answer,15,6,0.03652521051659018,tcPCA-8
comparisons,answer,15,7,0.029252306730642507,tcPCA-8
comparisons,answer,15,8,0.02492784303754728,tcPCA-8
comparisons,answer,15,9,0.023175478718562622,tcPCA-8
comparisons,period,15,0,0.547669178050086,tcPCA-8
comparisons,period,15,1,0.06263011479205449,tcPCA-8
comparisons,period,15,2,0.04058014342716988,tcPCA-8
comparisons,period,15,3,0.027828585994759833,tcPCA-8
comparisons,period,15,4,0.022889443086851115,tcPCA-8
comparisons,period,15,5,0.019538407052183914,tcPCA-8
comparisons,period,15,6,0.016137532758826248,tcPCA-8
comparisons,period,15,7,0.014204743874166436,tcPCA-8
comparisons,period,15,8,0.010798618158535677,tcPCA-8
comparisons,period,15,9,0.010267020647563557,tcPCA-8
copa,answer,15,0,0.3128957246021149,tcPCA-8
copa,answer,15,1,0.2208137004572813,tcPCA-8
copa,answer,15,2,0.1791772619931785,tcPCA-8
copa,answer,15,3,0.1575504373068894,tcPCA-8
copa,answer,15,4,0.12649742476372913,tcPCA-8
copa,answer,15,5,0.11369755261041536,tcPCA-8
copa,answer,15,6,0.10349919733010857,tcPCA-8
copa,answer,15,7,0.09851644248945511,tcPCA-8
copa,answer,15,8,0.07126856588375703,tcPCA-8
copa,answer,15,9,0.06615962892931437,tcPCA-8
copa,period,15,0,0.18896710011371165,tcPCA-8
copa,period,15,1,0.10047612531541295,tcPCA-8
copa,period,15,2,0.09266250835052404,tcPCA-8
copa,period,15,3,0.06972728129579898,tcPCA-8
copa,period,15,4,0.05825086353650866,tcPCA-8
copa,period,15,5,0.04861629345220352,tcPCA-8
copa,period,15,6,0.04556926853859984,tcPCA-8
copa,period,15,7,0.03881450573868382,tcPCA-8
copa,period,15,8,0.034001673811569204,tcPCA-8
copa,period,15,9,0.031438886559125676,tcPCA-8
ent_bank,answer,15,0,0.9048715629015558,tcPCA-8
ent_bank,answer,15,1,0.23252787632364447,tcPCA-8
ent_bank,answer,15,2,0.19514987439499748,tcPCA-8
ent_bank,answer,15,3,0.12896104774277278,tcPCA-8
ent_bank,answer,15,4,0.11765512906929218,tcPCA-8
ent_bank,answer,15,5,0.08934660346652824,tcPCA-8
ent_bank,answer,15,6,0.06469473238787031,tcPCA-8
ent_bank,answer,15,7,0.05149053279172682,tcPCA-8
ent_bank,answer,15,8,0.044912196267342906,tcPCA-8
ent_bank,answer,15,9,0.04202956528653368,tcPCA-8
ent_bank,period,15,0,0.810164475054933,tcPCA-8
ent_bank,period,15,1,0.2645793350912702,tcPCA-8
ent_bank,period,15,2,0.16194613234281163,tcPCA-8
ent_bank,period,15,3,0.11205077229226616,tcPCA-8
ent_bank,period,15,4,0.09523874229147242,tcPCA-8
ent_bank,period,15,5,0.0714305601046534,tcPCA-8
ent_bank,period,15,6,0.06309678268490078,tcPCA-8
ent_bank,period,15,7,0.05123765817295954,tcPCA-8
ent_bank,period,15,8,0.04833331143429009,tcPCA-8
ent_bank,period,15,9,0.04166418911091516,tcPCA-8
imdb,answer,15,0,0.8350135001886465,tcPCA-8
imdb,answer,15,1,0.407315630949564,tcPCA-8
imdb,answer,15,2,0.18771239309884516,tcPCA-8
imdb,answer,15,3,0.14063941107636518,tcPCA-8
imdb,answer,15,4,0.10312637103400336,tcPCA-8
imdb,answer,15,5,0.08888191897823255,tcPCA-8
imdb,answer,15,6,0.08029223987141668,tcPCA-8
imdb,answer,15,7,0.06761287686431208,tcPCA-8
imdb,answer,15,8,0.05729247166231503,tcPCA-8
imdb,answer,15,9,0.05686733746584462,tcPCA-8
imdb,period,15,0,0.584737760555273,tcPCA-8
imdb,period,15,1,0.19939920908228187,tcPCA-8
imdb,period,15,2,0.12008438074401621,tcPCA-8
imdb,period,15,3,0.10226093091234856,tcPCA-8
imdb,period,15,4,0.07206955213035544,tcPCA-8
imdb,period,15,5,0.06254794602951827,tcPCA-8
imdb,period,15,6,0.05488309015859864,tcPCA-8
imdb,period,15,7,0.04998098907054951,tcPCA-8
imdb,period,15,8,0.04632789423341023,tcPCA-8
imdb,period,15,9,0.04437252487203357,tcPCA-8
rte,answer,15,0,0.6987741300895847,tcPCA-8
rte,answer,15,1,0.3367751556026599,tcPCA-8
rte,answer,15,2,0.20745020088422614,tcPCA-8
rte,answer,15,3,0.1639684218756917,tcPCA-8
rte,answer,15,4,0.1457464095209832,tcPCA-8
rte,answer,15,5,0.10811098367549626,tcPCA-8
